do_id	description
DOID:3618	epidural spinal canal neoplasm
DOID:3620	central nervous system cancer
DOID:3637	childhood spinal cord tumor
DOID:3639	spinal cord intramedullary teratoma
DOID:3640	central nervous system teratoma
DOID:3641	conus medullaris neoplasm
DOID:3643	sella turcica neoplasm
DOID:3644	hypothalamic neoplasm
DOID:3664	mast cell neoplasm
DOID:3666	solitary mastocytoma of the skin
DOID:3672	rhabdoid cancer
DOID:3674	kidney rhabdoid cancer
DOID:3675	childhood kidney cancer
DOID:3691	anal colloid adenocarcinoma
DOID:3692	anal canal adenocarcinoma
DOID:3693	ampulla of Vater mucinous adenocarcinoma
DOID:3698	bile duct mucinous adenocarcinoma
DOID:3699	uterine ligament mucinous adenocarcinoma
DOID:3700	uterine ligament adenocarcinoma
DOID:3701	cervical mucinous adenocarcinoma
DOID:3702	cervical adenocarcinoma
DOID:3703	prostate colloid adenocarcinoma
DOID:3704	fallopian tube mucinous adenocarcinoma
DOID:3706	fallopian tube adenocarcinoma
DOID:3707	endometrial mucinous adenocarcinoma
DOID:3709	rectum mucinous adenocarcinoma
DOID:3710	bladder colloid adenocarcinoma
DOID:3711	bladder adenocarcinoma
DOID:3713	ovary adenocarcinoma
DOID:3716	mucinous stomach adenocarcinoma
DOID:3717	gastric adenocarcinoma
DOID:3720	extramedullary plasmacytoma
DOID:3721	plasmacytoma
DOID:3722	solitary osseous plasmacytoma
DOID:3723	solitary plasmacytoma of chest wall
DOID:3737	verrucous carcinoma
DOID:3740	vulva verrucous carcinoma
DOID:3741	bladder verrucous squamous cell carcinoma
DOID:3742	bladder squamous cell carcinoma
DOID:3743	cervical verrucous carcinoma
DOID:3744	cervical squamous cell carcinoma
DOID:3747	esophagus verrucous carcinoma
DOID:3748	esophagus squamous cell carcinoma
DOID:3749	urethral verrucous carcinoma
DOID:3750	urethra squamous cell carcinoma
DOID:3751	plantar verrucous skin carcinoma
DOID:3752	larynx verrucous carcinoma
DOID:3772	intraventricular meningioma
DOID:3774	chordoid glioma
DOID:3809	epidural spinal canal meningioma
DOID:3842	skull base cancer
DOID:3843	diencephalic neoplasm
DOID:3850	hemangiopericytic tumor
DOID:3856	male reproductive organ cancer
DOID:3857	large cell medulloblastoma
DOID:3860	cerebellar vermis medulloblastoma
DOID:3861	medullomyoblastoma
DOID:3864	adult medulloblastoma
DOID:3865	adult central nervous system embryonal tumor
DOID:3868	melanotic medulloblastoma
DOID:3869	childhood medulloblastoma
DOID:3870	childhood central nervous system embryonal tumor
DOID:3873	desmoplastic/nodular medulloblastoma
DOID:3904	bronchus carcinoma
DOID:3905	lung carcinoma
DOID:3907	lung squamous cell carcinoma
DOID:3908	lung non-small cell carcinoma
DOID:3910	lung adenocarcinoma
DOID:3919	pancreatic serous cystic neoplasm
DOID:3924	main bronchus cancer
DOID:3948	adrenocortical carcinoma
DOID:3950	adrenal carcinoma
DOID:3953	adrenal gland cancer
DOID:3959	adrenal cortical adenocarcinoma
DOID:3962	follicular thyroid carcinoma
DOID:3963	thyroid gland carcinoma
DOID:3964	trabecular follicular adenocarcinoma
DOID:3965	Merkel cell carcinoma
DOID:3969	papillary thyroid carcinoma
DOID:3972	poorly differentiated thyroid carcinoma
DOID:3973	medullary thyroid carcinoma
DOID:3996	urinary system cancer
DOID:3998	Bartholin's gland transitional cell carcinoma
DOID:3999	Bartholin's gland carcinoma
DOID:4000	ovary transitional cell carcinoma
DOID:4001	ovarian carcinoma
DOID:4003	Schneiderian carcinoma
DOID:4005	endometrial transitional cell carcinoma
DOID:4006	bladder urothelial carcinoma
DOID:4007	bladder carcinoma
DOID:4008	fallopian tube transitional cell carcinoma
DOID:4011	prostate transitional cell carcinoma
DOID:4012	papillary transitional carcinoma
DOID:4013	urethra transitional cell carcinoma
DOID:4014	sarcomatoid transitional cell carcinoma
DOID:4015	sarcomatoid carcinoma
DOID:4023	linitis plastica
DOID:4024	scirrhous adenocarcinoma
DOID:4043	skeletal muscle cancer
DOID:4045	muscle cancer
DOID:4047	liver rhabdomyosarcoma
DOID:4048	central nervous system rhabdomyosarcoma
DOID:4049	mediastinum rhabdomyosarcoma
DOID:4050	mediastinum sarcoma
DOID:4051	alveolar rhabdomyosarcoma
DOID:4053	rectum rhabdomyosarcoma
DOID:4054	prostate sarcoma
DOID:4055	ectomesenchymoma
DOID:4057	gallbladder rhabdomyosarcoma
DOID:4058	gallbladder sarcoma
DOID:4059	ovary rhabdomyosarcoma
DOID:4060	breast rhabdomyosarcoma
DOID:4061	testis rhabdomyosarcoma
DOID:4062	testis sarcoma
DOID:4064	bile duct sarcoma
DOID:4065	mixed type rhabdomyosarcoma
DOID:4066	anus rhabdomyosarcoma
DOID:4067	anus sarcoma
DOID:4073	pancreatic cystadenocarcinoma
DOID:4074	pancreatic adenocarcinoma
DOID:4075	bile duct cystadenocarcinoma
DOID:4084	testicular trophoblastic tumor
DOID:4085	trophoblastic neoplasm
DOID:4087	testicular pure germ cell tumor
DOID:4111	cervical adenosarcoma
DOID:4112	cervical carcinosarcoma
DOID:4113	uterine corpus adenosarcoma
DOID:4114	uterine body mixed cancer
DOID:4115	ovarian mesodermal adenosarcoma
DOID:4117	vaginal adenosarcoma
DOID:4136	myxosarcoma
DOID:4141	intraorbital meningioma
DOID:4143	orbital cancer
DOID:4151	skull base chordoma
DOID:4152	chondroid chordoma
DOID:4153	spinal chordoma
DOID:4159	skin cancer
DOID:4160	differentiating neuroblastoma
DOID:4163	ganglioneuroblastoma
DOID:4164	cerebral neuroblastoma
DOID:4202	brain stem glioma
DOID:4203	brain stem cancer
DOID:4205	cerebellum cancer
DOID:4206	childhood brain stem neoplasm
DOID:4207	childhood infratentorial neoplasm
DOID:4209	brainstem intraparenchymal clear cell meningioma
DOID:4210	clear cell meningioma
DOID:4211	posterior fossa meningioma
DOID:4217	malignant ovarian Brenner tumor
DOID:4226	endometrial stromal sarcoma
DOID:4227	uterine corpus endometrial stromal sarcoma
DOID:4230	smooth muscle cancer
DOID:4232	extraosseous Ewing sarcoma
DOID:4233	clear cell sarcoma
DOID:4235	spindle cell sarcoma
DOID:4236	carcinosarcoma
DOID:4239	alveolar soft part sarcoma
DOID:4242	kidney sarcoma
DOID:4277	penis basal cell carcinoma
DOID:4278	scrotum basal cell carcinoma
DOID:4279	infundibulocystic basal cell carcinoma
DOID:4280	nodular basal cell carcinoma
DOID:4281	metatypical basal cell carcinoma
DOID:4282	pigmented basal cell carcinoma
DOID:4283	anal margin basal cell carcinoma
DOID:4284	anal margin carcinoma
DOID:4286	skin nasal cell carcinoma with sebaceous differentiation
DOID:4287	external ear basal cell carcinoma
DOID:4288	external ear carcinoma
DOID:4289	micronodular basal cell carcinoma
DOID:4290	adamantinoid basal cell epithelioma
DOID:4291	fibroepithelial basal cell carcinoma
DOID:4292	morpheaform basal cell carcinoma
DOID:4293	clear cell basal cell carcinoma
DOID:4294	adenoid basal cell carcinoma
DOID:4295	follicular basal cell carcinoma
DOID:4299	infiltrative basal cell carcinoma
DOID:4300	superficial basal cell carcinoma
DOID:4301	vulva basal cell carcinoma
DOID:4302	cystic basal cell carcinoma
DOID:4303	sarcomatoid basal cell carcinoma
DOID:4304	signet ring basal cell carcinoma
DOID:4320	non-gestational choriocarcinoma
DOID:4334	splenic manifestation of prolymphocytic leukemia
DOID:4352	ciliary body cancer
DOID:4359	amelanotic melanoma
DOID:4360	epithelioid cell melanoma
DOID:4362	cervical cancer
DOID:4364	malignant breast melanoma
DOID:4384	orbit alveolar rhabdomyosarcoma
DOID:4385	papillary squamous carcinoma
DOID:4388	bone peripheral neuroepithelioma
DOID:4389	soft tissue peripheral neuroepithelioma
DOID:4413	cervix melanoma
DOID:4422	malignant adenofibroma
DOID:4430	somatostatinoma
DOID:4432	pancreatic somatostatinoma
DOID:4433	pancreatic delta cell neoplasm
DOID:4435	cavernous sinus meningioma
DOID:4436	anterior cranial fossa meningioma
DOID:4437	skull base meningioma
DOID:4438	central nervous system germinoma
DOID:4439	central nervous system germ cell tumor
DOID:4440	seminoma
DOID:4441	dysgerminoma
DOID:4442	cervical alveolar soft part sarcoma
DOID:4450	renal cell carcinoma
DOID:4451	renal carcinoma
DOID:4454	childhood kidney cell carcinoma
DOID:4455	hereditary renal cell carcinoma
DOID:4463	multilocular clear cell renal cell carcinoma
DOID:4464	collecting duct carcinoma
DOID:4465	papillary renal cell carcinoma
DOID:4467	clear cell renal cell carcinoma
DOID:4468	clear cell adenocarcinoma
DOID:4471	chromophobe renal cell carcinoma
DOID:4472	mucinous tubular and spindle renal cell carcinoma
DOID:4473	sarcomatoid renal cell carcinoma
DOID:4486	malignant biphasic mesothelioma
DOID:4488	sarcomatoid mesothelioma
DOID:4489	malignant epithelial mesothelioma
DOID:4490	malignant peritoneal solitary fibrous tumor
DOID:4504	central nervous system angiosarcoma
DOID:4505	childhood angiosarcoma
DOID:4510	aorta angiosarcoma
DOID:4511	breast angiosarcoma
DOID:4512	conventional angiosarcoma
DOID:4513	gallbladder angiosarcoma
DOID:4514	thyroid angiosarcoma
DOID:4515	thyroid sarcoma
DOID:4517	skin angiosarcoma
DOID:4520	cervical endometrial stromal sarcoma
DOID:4521	cervix endometrial stromal tumor
DOID:4522	superior vena cava angiosarcoma
DOID:4524	prostate angiosarcoma
DOID:4525	mediastinum angiosarcoma
DOID:4527	ovarian angiosarcoma
DOID:4531	mucoepidermoid carcinoma
DOID:4545	mesenchymal chondrosarcoma
DOID:4546	childhood mesenchymal chondrosarcoma
DOID:4547	adult mesenchymal chondrosarcoma
DOID:4548	extraskeletal mesenchymal chondrosarcoma
DOID:4549	extraskeletal myxoid chondrosarcoma
DOID:4552	large cell carcinoma
DOID:4553	thymus large cell carcinoma
DOID:4554	type C thymoma
DOID:4555	ovarian large-cell neuroendocrine carcinoma
DOID:4556	lung large cell carcinoma
DOID:4584	choroid plexus meningioma
DOID:4586	familial meningioma
DOID:4588	secretory meningioma
DOID:4591	lymphoplasmacyte-rich meningioma
DOID:4593	childhood meningioma
DOID:4594	microcystic meningioma
DOID:4606	bile duct cancer
DOID:4607	biliary tract cancer
DOID:4618	maxillary cancer
DOID:4645	retinal cancer
DOID:4647	trilateral retinoblastoma
DOID:4648	familial retinoblastoma
DOID:4650	bilateral retinoblastoma
DOID:4651	unilateral retinoblastoma
DOID:4653	intraocular retinoblastoma
DOID:4656	extraocular retinoblastoma
DOID:4678	thymus mucoepidermoid carcinoma
DOID:4679	breast mucoepidermoid carcinoma
DOID:4680	breast metaplastic carcinoma
DOID:4681	bile duct mucoepidermoid carcinoma
DOID:4682	extrahepatic bile duct carcinoma
DOID:4683	cutaneous mucoepidermoid carcinoma
DOID:4685	lacrimal gland mucoepidermoid carcinoma
DOID:4686	mucoepidermoid esophageal carcinoma
DOID:4687	thyroid gland mucoepidermoid carcinoma
DOID:4688	laryngeal mucoepidermoid carcinoma
DOID:4690	childhood mediastinal neurogenic tumor
DOID:4691	malignant mediastinal neurogenic neoplasm
DOID:4693	nerve plexus neoplasm
DOID:4696	intraneural perineurioma
DOID:4697	perineurioma
DOID:4698	nerve root neoplasm
DOID:4699	epicardium cancer
DOID:4706	infratentorial cancer
DOID:4707	cervicomedullary junction neoplasm
DOID:4708	foramen magnum meningioma
DOID:4716	malignant gastric germ cell tumor
DOID:4717	extragonadal germ cell cancer
DOID:4719	bone giant cell sarcoma
DOID:4739	testicular Brenner tumor
DOID:4743	mixed testicular germ cell tumor
DOID:4749	middle cranial fossa meningioma
DOID:4756	testicular Leydig cell tumor
DOID:4757	testicular sex cord-stromal neoplasm
DOID:4765	pulmonary blastoma
DOID:4766	embryoma
DOID:4767	classic pulmonary blastoma
DOID:4768	epithelial predominant pulmonary blastoma
DOID:4769	pleuropulmonary blastoma
DOID:4773	congenital mesoblastic nephroma
DOID:4787	cerebellopontine angle primitive neuroectodermal tumor
DOID:4788	intracranial primitive neuroectodermal tumor
DOID:4790	medulloepithelioma
DOID:4791	supratentorial primitive neuroectodermal tumor
DOID:4812	adult brainstem gliosarcoma
DOID:4813	adult brain stem glioma
DOID:4829	adenosquamous lung carcinoma
DOID:4830	adenosquamous carcinoma
