mondo_id	description
MONDO:0002162	fallopian tube adenosarcoma
MONDO:0002166	rectum lymphoma
MONDO:0002167	rectum malignant melanoma
MONDO:0002168	rectum sarcoma
MONDO:0002169	rectum adenocarcinoma
MONDO:0002178	placenta cancer
MONDO:0002205	vulvar melanoma
MONDO:0002206	sweat gland cancer
MONDO:0002207	vulval Paget disease
MONDO:0002214	brain germinoma
MONDO:0002216	brain sarcoma
MONDO:0002217	central nervous system sarcoma
MONDO:0002218	temporal lobe cancer
MONDO:0002223	ovarian malignant mesothelioma
MONDO:0002224	malignant ovarian cyst
MONDO:0002225	ovarian sarcoma
MONDO:0002227	ovarian lymphoma
MONDO:0002230	ovarian Wilms tumor
MONDO:0002236	ocular cancer
MONDO:0002238	ascending colon cancer
MONDO:0002271	colon adenocarcinoma
MONDO:0002290	clitoris cancer
MONDO:0002293	cutaneous ganglioneuroma
MONDO:0002301	frontal sinus squamous cell carcinoma
MONDO:0002351	glottis cancer
MONDO:0002352	larynx cancer
MONDO:0002355	glottis carcinoma
MONDO:0002357	hepatic flexure cancer
MONDO:0002358	laryngeal carcinoma
MONDO:0002361	transverse colon cancer
MONDO:0002367	kidney cancer
MONDO:0002368	papillary serous cystadenocarcinoma
MONDO:0002376	spleen angiosarcoma
MONDO:0002387	liver angiosarcoma
MONDO:0002397	liver sarcoma
MONDO:0002401	malignant tenosynovial giant cell tumor
MONDO:0002402	malignant giant cell tumor
MONDO:0002403	synovium cancer
MONDO:0002415	bone carcinoma
MONDO:0002416	ethmoid sinus squamous cell carcinoma
MONDO:0002418	ethmoid sinus adenocarcinoma
MONDO:0002422	adamantinoma
MONDO:0002424	rectosigmoid carcinoma
MONDO:0002425	rectosigmoid junction cancer
MONDO:0002426	lung sarcoma
MONDO:0002432	malignant neoplasm of acoustic nerve
MONDO:0002433	malignant cranial nerve neoplasm
MONDO:0002434	oculomotor nerve cancer
MONDO:0002447	endometrial carcinoma
MONDO:0002448	laryngeal sarcoma
MONDO:0002455	exocervical carcinoma
MONDO:0002460	lacrimal system cancer
MONDO:0002463	lacrimal gland carcinoma
MONDO:0002464	lacrimal gland cancer
MONDO:0002466	eye carcinoma
MONDO:0002469	lacrimal gland carcinoma ex pleomorphic adenoma
MONDO:0002472	carcinoma ex pleomorphic adenoma
MONDO:0002475	lacrimal gland adenocarcinoma
MONDO:0002481	ovarian neuroendocrine neoplasm
MONDO:0002486	lobular neoplasia
MONDO:0002489	malignant breast phyllodes tumor
MONDO:0002490	breast sarcoma
MONDO:0002493	prostatic acinar adenocarcinoma
MONDO:0002495	colon signet ring cell adenocarcinoma
MONDO:0002496	submucosal invasive colon adenocarcinoma
MONDO:0002501	brain glioblastoma
MONDO:0002512	papillary adenocarcinoma
MONDO:0002516	digestive system cancer
MONDO:0002529	skin squamous cell carcinoma
MONDO:0002540	childhood oligodendroglioma
MONDO:0002541	spinal cord oligodendroglioma
MONDO:0002542	spinal cord glioma
MONDO:0002543	adult oligodendroglioma
MONDO:0002544	brain oligodendroglioma
MONDO:0002571	primary central nervous system lymphoma
MONDO:0002574	prostate embryonal rhabdomyosarcoma
MONDO:0002576	embryonal extrahepatic bile duct rhabdomyosarcoma
MONDO:0002577	extrahepatic bile duct rhabdomyosarcoma
MONDO:0002578	botryoid rhabdomyosarcoma
